Name,Comp_Class,Type
o-Succinylbenzoate,phenol,
Phenylacetaldehyde,phenol,
Phenylethyl alcohol,phenol,
Phenylglyoxylic acid,phenol,
Phloridzin,phenol,
Phloroglucinol,phenol,like_GA
Phthalic acid,phenol,
Piceol,phenol,
piperonal,phenol,like_safarole
Premithramycin A2',phenol,polyphenol
Propofol,phenol,
Propylparaben,phenol,like_GA
Protocatechuic acid,phenol,like_GA
Pyrogallol,phenol,
Raclopride,phenol,
"ROPIVACAINE, (R)-",phenol,
Safrole,phenol,like_safarole
Sec-O-glucosylhamaudol,phenol,Chromene
shikimic acid - STD,phenol,shikimate
Styrene,phenol,
trans-1-Cinnamylpiperazine,phenol,
Valerophenone,phenol,
Vanillyl mandelic acid,phenol,
Vorinostat,phenol,
Xanthoxylin/Brevifolin,phenol,
Xanthurenic acid,phenol,Tryptophan_pathway
shikimic acid - standard_list,phenol,shikimate
(-)-ECG-3''-O-ME,proanthocyanidin,
(-)-Epiafzelechin 3-O-gallate,proanthocyanidin,
(+)-Gallocatechin,proanthocyanidin,
(+)-Procyanidin B2,proanthocyanidin,
"2-Methoxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenyl beta-D-glucopyranosiduronic acid",proanthocyanidin,
4'-METHYL-EPIGALLOCATECHIN-3'-GLUCURONIDE,proanthocyanidin,
Catechin,proanthocyanidin,
Catechin-4-ol 3-O-beta-D-galactopyranoside,proanthocyanidin,
"CATECHIN GALLATE, (-)-",proanthocyanidin,
Cianidanol,proanthocyanidin,
"Epicatechin 3,5-digallate",proanthocyanidin,
Epigallocatechin-(4beta->8)-epicatechin-3-O-gallate ester,proanthocyanidin,
EPIGALLOCATECHIN-3'-GLUCURONIDE,proanthocyanidin,
Epigallocatechin gallate,proanthocyanidin,
PRODELPHINIDIN B4,proanthocyanidin,
Theasinensin B,proanthocyanidin,
"1,3,4,5-Tetrahydroxycyclohexanecarboxylic acid",quinone,
Carmine,quinone,
Frangulin B,quinone,
Adenine,ribonucleoside,
Adenosine,ribonucleoside,
Adenosine diphosphate (ADP),ribonucleoside,
Guanine,ribonucleoside,
"4-[(E)-2-(3,4,5-Trimethoxyphenyl)vinyl]phenol",Stilbenes,
Paeoniflorin,terpene,
"3-{5-[({2,3,4,5,6,7-Hexahydroxy-9,17-dioxo-13,15-bis[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-14-yl}oxy)carbonyl]-3-hydroxy-2-oxi
dophenoxy}-2,5,6,7-tetrahydroxy-9,17-dioxo-13,14,15-tris[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,5]dioxacycloundecin-4-olate",ellagitannins,"InChI=1S/C82H58O51/c83-29-1-19(2-30(84)51(29)98)71(111)128-67-66-46(124-81(132-75(115)22-7-35(89)54(101)36(90)8-22)69(67)130-73(113)21-5-33(87)53(100)34(88)6-21)18-122-78(118)26-14-41(95)58(105)61(108)48(26)50-28(80(120)127-66)16-43(97)64(63(50)110)123-44-12-24(11-39(93)56(44)103)74(114)131-70-68(129-72(112)20-3-31(85)52(99)32(86)4-20)65-45(125-82(70)133-76(116)23-9-37(91)55(102)38(92)10-23)17-121-77(117)25-13-40(94)57(104)60(107)47(25)49-27(79(119)126-65)15-42(96)59(106)62(49)109/h1-16,45-46,65-70,81-110H,17-18H2/p-2"
"(6aR,8aR,20aR,20bS,22E,26aZ)-1,2,12,13,14,15,16,17,22,24,25,26-Dodecahydroxy-3,5,10,19-tetraoxo-3,4,4a,5,6a,7,8a,9,10,19,20a,20b,25,26-tetradecahydrodibenzo[f,h]dibenzo[6',7':8',9']oxecino[2',3':5,6]pyrano[3,4-b][1,4]dioxecin-7-yl 3,4,5-trihydroxybenzoate",ellagitannins,
"4-O-{3,4-Dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoyl}-1,2,3,6-tetrakis-O-(3,4,5-trihydroxybenzoyl)hexopyranose",gallotannins,
"4-O-{3,4-Dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoyl}-1,2,3,6-tetrakis-O-(3,4,5-trihydroxybenzoyl)-?-D-glucopyranose",gallotannins,
"1-O-(3,4,5-Trihydroxybenzoyl)hexopyranose",galloylglucose,
6-O-Galloyl-?�-D-glucose,galloylglucose,
"4-(?�-D-Glucopyranosyloxy)-3,5-dihydroxybenzoic acid",galloylglucose,
"6-O-(3,4,5-Trihydroxybenzoyl)hexopyranose",galloylglucose,
6-O-Galloyl-glucose,galloylglucose,
